>> newton
 i         x_i
 1   1.0176444552
 2   1.0281375444
 3   1.0347368040
 4   1.0389904857
 5   1.0417682978
 6   1.0435961292
 7   1.0448044592
 8   1.0456055968
 9   1.0461377623
10   1.0464916944
11   1.0467272762
12   1.0468841665
13   1.0469886908
14   1.0470583545
15   1.0471047512
16   1.0471357425
17   1.0471563415
18   1.0471698424
19   1.0471786645
20   1.0471815856
21   1.0471877173
22   1.0471769430
23   1.0471830768
24   1.0471905368
25   1.0472011250
26   1.0472826969
27   1.0472544034
28   1.0472352319
29   1.0472234944
30   1.0472149821
31   1.0472081249
32   1.0472127839
33   1.0472127839   
